Source,Target,Weight
203666,28643625,4.334623326746554E-8
25126616,16241224,3.6013572080765786E-8
15171934,3623050,5.230460899189735E-10
24560307,5932749,7.154639926427688E-10
2935735,4591033,7.154520439193063E-10
9461481,28366058,3.609885747915551E-8
25537901,25538333,5.230460899189735E-10
4025121,16851127,4.3260947868877595E-8
10969551,8711353,4.911089200794388E-8
24560307,13346571,7.154520439193063E-10
1857825,2410676,6.301785945959765E-10
11421378,167174,6.815324885813534E-10
11421378,3955647,6.301785945959765E-10
8843683,1787757,5.230460899189735E-10
671825,729744,1.6081938159313112E-4
17784299,21548299,5.230460899189735E-10
206084,26992831,5.230460899189735E-10
9530789,9325315,5.230460899189735E-10
9325315,9530789,0.010484936544047283
1801829,2649031,3.606492597475117E-8
11808187,5187096,5.230460899189735E-10
588600,71019,6.301785945959765E-10
9461481,7691631,3.606492597475117E-8
11589713,9461481,4.3260947868877595E-8
11778024,16819795,6.301785945959765E-10
714074,14663768,6.301785945959765E-10
14159669,3623050,1.599656693547605E-4
19294390,9029977,5.230460899189735E-10
21357099,321278,5.230460899189735E-10
2081289,14448779,1.9308776181770177E-4
10707658,16297763,4.906679693288899E-8
27022174,2476855,6.301785945959765E-10
8569918,9615328,6.301785945959765E-10
606956,128476,0.012634885178961967
28366058,7691631,1.608409420375305E-4
7786818,3038446,0.8807647678368921
17752746,3016562,6.301785945959765E-10
22521888,10616272,6.301785945959765E-10
238972,13347640,3.147776163585277E-6
13512328,11225014,3.590643957608879E-8
104937,27,5.230460899189735E-10
15601851,23899906,7.025955075835269E-10
2351391,2351384,5.230460899189735E-10
108278,15090814,6.301785945959765E-10
14981376,1181927,1.5991814144378086E-4
2014929,1385122,0.7204136899581168
9403933,23198783,5.230460899189735E-10
8962829,14169882,4.9115678417542884E-8
24835467,22187098,5.230460899189735E-10
5710178,5710341,6.301785945959765E-10
843222,654608,0.01048780387871736
27193779,3342055,0.8824838439821012
9265294,206084,5.230460899189735E-10
1446467,2410676,0.0104849365651103
10969551,12296490,0.012846501689981867
8271291,14204295,7.025955075835269E-10
27494663,206084,6.301785945959765E-10
321278,4580780,1.575382781745884E-4
658518,1254497,6.301785945959765E-10
26399616,26119962,5.230460899189735E-10
7691631,23096959,0.8818525088273711
23096959,7691631,0.9515415439615144
7691631,20580498,1.6040550714807215E-4
2893713,108278,6.301785945959765E-10
26992831,206084,5.230460899189735E-10
13739356,10037542,2.3805656247693032E-6
28155823,18023059,4.678632646728841E-8
24336212,25104780,5.230460899189735E-10
1090311,24894912,6.815324885813534E-10
729744,671825,2.173885452932872E-4
27494663,7691631,0.7204169223261955
11167738,28062827,0.010484979203959568
11617504,11924873,6.815324885813534E-10
238972,363387,4.805272614219561E-8
5721837,1419138,5.230460899189735E-10
28669836,17301522,6.815324885813534E-10
238972,1252,5.230460899189735E-10
7099729,2163263,6.815324885813534E-10
5373551,7480345,5.230460899189735E-10
168370,722201,6.301785945959765E-10
589584,616448,5.230460899189735E-10
12244838,4331833,5.230460899189735E-10
3447593,22942790,5.230460899189735E-10
1402936,4090287,5.230460899189735E-10
7691631,15693680,7.154639891766745E-10
21779020,3678731,6.301785945959765E-10
3557653,2968000,3.137025620081984E-6
20580498,7691631,0.8825279731363076
11412473,14238949,5.230460899189735E-10
2751199,2752522,6.301785945959765E-10
1090311,168370,0.867974761110337
20929025,321278,5.230460899189735E-10
5048251,641512,5.230460899189735E-10
14204295,12584841,5.230460899189735E-10
28758778,1362490,5.230460899189735E-10
14225208,21449162,3.6098205655029536E-8
23810532,9325315,5.230460899189735E-10
3198415,2228226,3.590643957608879E-8
6862780,143580,3.60970884065178E-8
20580498,15693680,5.230460899189735E-10
9534760,3214406,6.301785945959765E-10
26494782,17815037,5.230460899189735E-10
22873447,21129265,5.230460899189735E-10
1632976,658518,5.230460899189735E-10
24474126,3638964,0.9975633805236451
7691631,9461481,7.136949203479853E-10
488514,614070,3.2479293648591642E-6
11452644,9996255,5.230460899189735E-10
19354917,3620194,5.230460899189735E-10
7961991,7968417,5.230460899189735E-10
24400684,25841126,5.230460899189735E-10
26715792,1725199,5.230460899189735E-10
28671602,734934,2.3803734467969802E-6
17620347,14225208,6.815324885813534E-10
2055965,19390712,0.7310562060269801
2055965,20905275,5.230460899189735E-10
23407526,3214406,5.230460899189735E-10
17049596,1093228,5.230460899189735E-10
1332134,1157388,5.230460899189735E-10
16665655,929845,5.230460899189735E-10
16665655,3319769,6.301785945959765E-10
24664810,3214406,5.230460899189735E-10
25252102,15901046,3.590643957608879E-8
12048721,7760890,5.230460899189735E-10
15901046,25252102,3.6013572080765786E-8
8710734,507775,2.3805319331956426E-6
28834044,417389,5.230460899189735E-10
11167738,931039,5.230460899189735E-10
17950592,17930752,6.301785945959765E-10
8962829,3620194,5.230460899189735E-10
17089728,14712850,0.010487351777841476
9528819,1380117,5.230460899189735E-10
22187098,7764559,5.230460899189735E-10
1254497,2935735,0.010484936544047283
695611,12710059,5.230460899189735E-10
24669372,2932773,7.025955075835269E-10
1217614,3988342,6.815324885813534E-10
4007018,258750,0.9387038022319231
20004472,11921752,5.230460899189735E-10
658518,1385122,1.8984109937219025E-4
5282596,5312648,6.301785945959765E-10
21388550,20897575,5.230460899189735E-10
21388550,20882845,5.230460899189735E-10
5216282,890377,6.815324885813534E-10
10270250,11667865,5.230460899189735E-10
5532320,7804910,0.9932829250338538
2935735,12127251,6.301785945959765E-10
15045751,7691631,0.9525738824756591
23487443,203666,5.230460899189735E-10
27193779,27196756,7.136949203479853E-10
1283503,19294390,5.230460899189735E-10
46939,167174,5.230460899189735E-10
585285,8792127,6.301785945959765E-10
16688238,21386310,7.025955075835269E-10
18219900,2293158,7.10675499337191E-10
2293158,13744591,6.815324885813534E-10
24560307,10270250,6.301785945959765E-10
4262493,2011783,0.010674741663690613
52287,13080550,6.301785945959765E-10
18453077,4039952,5.230460899189735E-10
128476,606956,0.012634885098465063
20260834,20260602,5.230460899189735E-10
20260602,20260834,5.230460899189735E-10
16630147,12310030,5.230460899189735E-10
26509369,29600667,3.609876919497901E-8
380961,1211978,3.6013572080765786E-8
9615328,8569918,5.230460899189735E-10
12892263,13345709,3.590643957608879E-8
10642675,10350614,5.230460899189735E-10
1284185,7394347,6.301785945959765E-10
11667865,10270250,6.815324885813534E-10
19614228,11167738,5.230460899189735E-10
18065797,5710341,5.230460899189735E-10
14562056,13220460,1.8980560884619943E-4
8514,28748876,5.230460899189735E-10
24894912,1090311,5.230460899189735E-10
7477865,5151909,7.025955075835269E-10
7691631,16607898,6.815324885813534E-10
11116372,597879,5.230460899189735E-10
10822741,3594497,5.230460899189735E-10
14474326,65252,5.230460899189735E-10
2055965,167174,6.301785945959765E-10
22700458,14712850,7.025955075835269E-10
2165383,2081289,0.013664363259046318
7673810,6907993,5.230460899189735E-10
447184,238972,1.929493926391998E-4
24835467,931039,6.815324885813534E-10
203666,16219318,7.136949203479853E-10
24835467,24560307,3.606492597475117E-8
890377,81384,7.025955075835269E-10
206084,11180687,5.230460899189735E-10
16219318,203666,5.230460899189735E-10
80571,8514,6.301785945959765E-10
13575283,455600,5.230460899189735E-10
1312351,14299077,5.230460899189735E-10
11396385,25652980,4.331230176286297E-8
714074,7467217,5.230460899189735E-10
10399273,4723248,3.6013572080765786E-8
11581452,258750,5.230460899189735E-10
20558462,19745004,0.013664368316443494
14089735,27866077,5.230460899189735E-10
24560307,22187098,5.230460899189735E-10
3781859,943149,6.301785945959765E-10
5017825,478996,6.301785945959765E-10
13653550,4007018,1.8980560884619943E-4
25136308,1200050,5.230460899189735E-10
7691631,28366058,1.9310945145277933E-4
19360616,9787757,5.230460899189735E-10
843222,890377,5.230460899189735E-10
12225546,8665467,5.230460899189735E-10
14238949,9831101,5.230460899189735E-10
9831101,14238949,5.230460899189735E-10
5710848,21338881,5.230460899189735E-10
2300694,507,5.230460899189735E-10
13753636,6296790,3.590643957608879E-8
560495,27620277,1.5753809862517076E-4
23403252,65252,5.230460899189735E-10
28257573,12446895,5.230460899189735E-10
12136863,11931032,1.575382781745884E-4
1385122,890377,5.230460899189735E-10
14089735,2476855,5.230460899189735E-10
22321368,1857825,6.301785945959765E-10
9325315,10045175,2.148725417104286E-4
28061676,11061773,0.9387037670407076
8629417,9403933,5.230460899189735E-10
4255988,3631697,6.301785945959765E-10
1252,614070,5.230460899189735E-10
28062827,11167738,0.010484971948503789
27193779,321278,0.7347148213874096
1372780,1020639,2.3803734467969802E-6
2948949,3983388,6.301785945959765E-10
8665467,12225546,5.230460899189735E-10
16174770,17592572,2.9032078299728215E-6
4110016,25274085,3.590643957608879E-8
25837286,3301400,5.230460899189735E-10
4164482,1431547,5.230460899189735E-10
18825519,3214406,3.608598899375334E-8
22527813,16152925,5.230460899189735E-10
611921,8514,0.7204137254999967
25661063,14089735,5.230460899189735E-10
3623050,14159669,1.599535241854429E-4
25274085,4110016,5.230460899189735E-10
3342055,11545928,2.8678244364866514E-6
21129265,22873447,3.608598899375334E-8
27903690,23096959,5.230460899189735E-10
16665655,4128353,2.42319184548068E-6
24560307,9060347,6.815324885813534E-10
6115789,5312648,1.5753809862517076E-4
79352,1009207,5.230460899189735E-10
10995659,481872,5.230460899189735E-10
481872,7691631,5.230460899189735E-10
1460385,1446467,5.230460899189735E-10
10154685,5400018,5.230460899189735E-10
7691631,11589713,5.230460899189735E-10
12164369,5811958,0.01048731623596159
11545371,7212432,5.230460899189735E-10
22442668,20580498,0.9999999999146093
6182775,596892,2.3803734467969802E-6
24500594,4648505,6.301785945959765E-10
17327535,65252,0.8807619358117627
9996255,7586424,2.3805656247693032E-6
21679569,23876490,6.301785945959765E-10
212862,8514,5.230460899189735E-10
27382506,23096959,5.230460899189735E-10
17301522,28669836,5.230460899189735E-10
17780645,2508083,5.230460899189735E-10
2055965,3455070,7.10675499337191E-10
16366081,9252533,3.137058899762262E-6
8514,1145832,6.301785945959765E-10
5694513,14812631,6.301785945959765E-10
20882845,19745004,4.3260947868877595E-8
2649031,26096505,5.230460899189735E-10
22965155,1380117,5.230460899189735E-10
10707658,26553597,0.720571227533696
6660536,13934856,4.9099209551932266E-8
1599151,2331534,6.301785945959765E-10
2011783,4262493,0.013661940968525167
10064545,3678731,5.230460899189735E-10
4128353,3319769,0.013876900549527435
8884539,5731348,6.301785945959765E-10
4106792,206084,2.4286414939507373E-6
9992330,12310030,1.6063923886869565E-4
7764559,10697582,5.230460899189735E-10
13815417,23096959,5.230460899189735E-10
23198783,9403933,5.230460899189735E-10
5741125,14712850,5.230460899189735E-10
4435792,3149845,5.230460899189735E-10
27193779,5187096,0.720571227533696
26119962,26399616,6.301785945959765E-10
958314,7691631,5.230460899189735E-10
21413198,15062869,5.230460899189735E-10
8514,392785,5.230460899189735E-10
