Source,Target,Weight
203666,28643625,14.5
25126616,16241224,1.5
15171934,3623050,0.5
24560307,5932749,10.5
2935735,4591033,5.5
9461481,28366058,11.5
25537901,25538333,0.5
4025121,16851127,2.0
10969551,8711353,17.5
24560307,13346571,5.5
1857825,2410676,1.0
11421378,167174,1.5
11421378,3955647,1.0
8843683,1787757,0.5
671825,729744,8.0
17784299,21548299,0.5
206084,26992831,0.5
9530789,9325315,0.5
9325315,9530789,1.5
1801829,2649031,2.0
11808187,5187096,0.5
588600,71019,1.0
9461481,7691631,2.0
11589713,9461481,2.0
11778024,16819795,1.0
714074,14663768,1.0
14159669,3623050,5.0
19294390,9029977,0.5
21357099,321278,0.5
2081289,14448779,10.0
10707658,16297763,6.0
27022174,2476855,1.0
8569918,9615328,1.0
606956,128476,2.5
28366058,7691631,10.5
7786818,3038446,1.0
17752746,3016562,1.0
22521888,10616272,1.0
238972,13347640,4.0
13512328,11225014,1.0
104937,27,0.5
15601851,23899906,2.0
2351391,2351384,0.5
108278,15090814,1.0
14981376,1181927,11.0
2014929,1385122,0.5
9403933,23198783,0.5
8962829,14169882,16.5
24835467,22187098,0.5
5710178,5710341,1.0
843222,654608,3.5
27193779,3342055,7.5
9265294,206084,0.5
1446467,2410676,2.0
10969551,12296490,2.0
8271291,14204295,2.0
27494663,206084,1.0
321278,4580780,2.0
658518,1254497,1.0
26399616,26119962,0.5
7691631,23096959,5.0
23096959,7691631,0.5
7691631,20580498,1.0
2893713,108278,1.0
26992831,206084,0.5
13739356,10037542,4.0
28155823,18023059,3.0
24336212,25104780,0.5
1090311,24894912,1.5
729744,671825,19.5
27494663,7691631,3.0
11167738,28062827,3.5
11617504,11924873,1.5
238972,363387,2.5
5721837,1419138,0.5
28669836,17301522,1.5
238972,1252,0.5
7099729,2163263,1.5
5373551,7480345,0.5
168370,722201,1.0
589584,616448,0.5
12244838,4331833,0.5
3447593,22942790,0.5
1402936,4090287,0.5
7691631,15693680,9.5
21779020,3678731,1.0
3557653,2968000,2.0
20580498,7691631,14.5
11412473,14238949,0.5
2751199,2752522,1.0
1090311,168370,3.5
20929025,321278,0.5
5048251,641512,0.5
14204295,12584841,0.5
28758778,1362490,0.5
14225208,21449162,4.0
23810532,9325315,0.5
3198415,2228226,1.0
6862780,143580,3.5
20580498,15693680,0.5
9534760,3214406,1.0
26494782,17815037,0.5
22873447,21129265,0.5
1632976,658518,0.5
24474126,3638964,11.5
7691631,9461481,3.0
488514,614070,1.0
11452644,9996255,0.5
19354917,3620194,0.5
7961991,7968417,0.5
24400684,25841126,0.5
26715792,1725199,0.5
28671602,734934,0.5
17620347,14225208,1.5
2055965,19390712,1.5
2055965,20905275,0.5
23407526,3214406,0.5
17049596,1093228,0.5
1332134,1157388,0.5
16665655,929845,0.5
16665655,3319769,1.0
24664810,3214406,0.5
25252102,15901046,1.0
12048721,7760890,0.5
15901046,25252102,1.5
8710734,507775,1.5
28834044,417389,0.5
11167738,931039,0.5
17950592,17930752,1.0
8962829,3620194,0.5
17089728,14712850,2.0
9528819,1380117,0.5
22187098,7764559,0.5
1254497,2935735,1.5
695611,12710059,0.5
24669372,2932773,2.0
1217614,3988342,1.5
4007018,258750,1.0
20004472,11921752,0.5
658518,1385122,1.5
5282596,5312648,1.0
21388550,20897575,0.5
21388550,20882845,0.5
5216282,890377,1.5
10270250,11667865,0.5
5532320,7804910,22.0
2935735,12127251,1.0
15045751,7691631,7.0
23487443,203666,0.5
27193779,27196756,3.0
1283503,19294390,0.5
46939,167174,0.5
585285,8792127,1.0
16688238,21386310,2.0
18219900,2293158,2.5
2293158,13744591,1.5
24560307,10270250,1.0
4262493,2011783,4.5
52287,13080550,1.0
18453077,4039952,0.5
128476,606956,1.0
20260834,20260602,0.5
20260602,20260834,0.5
16630147,12310030,0.5
26509369,29600667,5.0
380961,1211978,1.5
9615328,8569918,0.5
12892263,13345709,1.0
10642675,10350614,0.5
1284185,7394347,1.0
11667865,10270250,1.5
19614228,11167738,0.5
18065797,5710341,0.5
14562056,13220460,0.5
8514,28748876,0.5
24894912,1090311,0.5
7477865,5151909,2.0
7691631,16607898,1.5
11116372,597879,0.5
10822741,3594497,0.5
14474326,65252,0.5
2055965,167174,1.0
22700458,14712850,2.0
2165383,2081289,1.5
7673810,6907993,0.5
447184,238972,5.5
24835467,931039,1.5
203666,16219318,3.0
24835467,24560307,2.0
890377,81384,2.0
206084,11180687,0.5
16219318,203666,0.5
80571,8514,1.0
13575283,455600,0.5
1312351,14299077,0.5
11396385,25652980,2.5
714074,7467217,0.5
10399273,4723248,1.5
11581452,258750,0.5
20558462,19745004,3.5
14089735,27866077,0.5
24560307,22187098,0.5
3781859,943149,1.0
5017825,478996,1.0
13653550,4007018,0.5
25136308,1200050,0.5
7691631,28366058,14.5
19360616,9787757,0.5
843222,890377,0.5
12225546,8665467,0.5
14238949,9831101,0.5
9831101,14238949,0.5
5710848,21338881,0.5
2300694,507,0.5
13753636,6296790,1.0
560495,27620277,0.5
23403252,65252,0.5
28257573,12446895,0.5
12136863,11931032,2.0
1385122,890377,0.5
14089735,2476855,0.5
22321368,1857825,1.0
9325315,10045175,1.5
28061676,11061773,4.0
8629417,9403933,0.5
4255988,3631697,1.0
1252,614070,0.5
28062827,11167738,2.5
27193779,321278,5.0
1372780,1020639,0.5
2948949,3983388,1.0
8665467,12225546,0.5
16174770,17592572,1.0
4110016,25274085,1.0
25837286,3301400,0.5
4164482,1431547,0.5
18825519,3214406,2.5
22527813,16152925,0.5
611921,8514,2.0
25661063,14089735,0.5
3623050,14159669,4.0
25274085,4110016,0.5
3342055,11545928,0.5
21129265,22873447,2.5
27903690,23096959,0.5
16665655,4128353,3.5
24560307,9060347,1.5
6115789,5312648,0.5
79352,1009207,0.5
10995659,481872,0.5
481872,7691631,0.5
1460385,1446467,0.5
10154685,5400018,0.5
7691631,11589713,0.5
12164369,5811958,0.5
11545371,7212432,0.5
22442668,20580498,37.0
6182775,596892,0.5
24500594,4648505,1.0
17327535,65252,1.0
9996255,7586424,4.0
21679569,23876490,1.0
212862,8514,0.5
27382506,23096959,0.5
17301522,28669836,0.5
17780645,2508083,0.5
2055965,3455070,2.5
16366081,9252533,4.0
8514,1145832,1.0
5694513,14812631,1.0
20882845,19745004,2.0
2649031,26096505,0.5
22965155,1380117,0.5
10707658,26553597,0.5
6660536,13934856,8.0
1599151,2331534,1.0
2011783,4262493,3.0
10064545,3678731,0.5
4128353,3319769,4.5
8884539,5731348,1.0
4106792,206084,6.0
9992330,12310030,2.0
7764559,10697582,0.5
13815417,23096959,0.5
23198783,9403933,0.5
5741125,14712850,0.5
4435792,3149845,0.5
27193779,5187096,0.5
26119962,26399616,1.0
958314,7691631,0.5
21413198,15062869,0.5
8514,392785,0.5
19939216,6543378,5.0
22369178,13078968,0.5
17303641,7887296,0.5
13347640,238983,2.5
16563587,11225014,3.0
2935735,3100121,0.5
2935735,9384267,0.5
14299077,1312351,0.5
19606628,20929025,3.5
2370458,4423776,1.0
104937,8514,0.5
5830987,24560307,0.5
21386310,16688238,1.5
22584039,2055965,1.0
3171862,2006302,0.5
5710848,19006435,0.5
24198103,14430294,1.5
25042195,6093316,0.5
1090311,26094060,1.0
